ORDER ID,PRODUCT NAME,PRICE,CATEGORY,BOX HEIGHT (CM)
ORD00001,Court Master,86,shoes,12
ORD00002,Hoodie Classic,68,apparel,8
ORD00003,Street Sneaker,176,shoes,12
ORD00004,Travel Duffel,128,bags,12
ORD00005,Mini Statue,62,collectibles,9
ORD00006,Hoodie Classic,25,apparel,10
ORD00007,Runner Pro,123,shoes,12
ORD00008,Track Pants,48,apparel,10
ORD00009,Track Pants,23,apparel,9
ORD00010,Laptop Tote,153,bags,13
ORD00011,Urban Backpack,105,bags,11
ORD00012,Denim Jacket,15,apparel,9
ORD00013,Air Glide,198,shoes,12
ORD00014,Sport Shorts,96,apparel,10
ORD00015,Mini Statue,243,collectibles,10
ORD00016,Mini Sling,140,bags,11
ORD00017,Mini Statue,115,collectibles,8
ORD00018,Denim Jacket,110,apparel,10
ORD00019,Trail Blazer,220,shoes,12
ORD00020,Crossbody Bag,32,bags,12
ORD00021,Signed Card,42,collectibles,10
ORD00022,Crossbody Bag,157,bags,11
ORD00023,Signed Card,153,collectibles,10
ORD00024,Travel Duffel,140,bags,11
ORD00025,Limited Poster,142,collectibles,8
ORD00026,Street Sneaker,85,shoes,12
ORD00027,Sport Shorts,72,apparel,9
ORD00028,Trail Blazer,132,shoes,12
ORD00029,Denim Jacket,75,apparel,9
ORD00030,Hoodie Classic,56,apparel,10
ORD00031,Sport Shorts,80,apparel,8
ORD00032,Track Pants,77,apparel,9
ORD00033,Court Master,159,shoes,12
ORD00034,Vinyl Figure,139,collectibles,9
ORD00035,Vinyl Figure,128,collectibles,8
ORD00036,Urban Backpack,148,bags,11
ORD00037,Limited Poster,192,collectibles,8
ORD00038,Court Master,110,shoes,12
ORD00039,Graphic Tee,69,apparel,10
ORD00040,Mini Statue,125,collectibles,10
ORD00041,Vinyl Figure,112,collectibles,10
ORD00042,Trail Blazer,128,shoes,16
ORD00043,Hoodie Classic,101,apparel,9
ORD00044,Track Pants,105,apparel,10
ORD00045,Travel Duffel,62,bags,12
ORD00046,Signed Card,293,collectibles,9
ORD00047,Air Glide,71,shoes,16
ORD00048,Urban Backpack,102,bags,14
ORD00049,Track Pants,38,apparel,9
ORD00050,Limited Poster,111,collectibles,8
ORD00051,Collector Pin,288,collectibles,9
ORD00052,Vinyl Figure,260,collectibles,9
