orderId,productName,price,category,boxHeight
ORD00001,"Stüssy World Tour Tee",16921.47,apparel,27
ORD00002,"Crocs Classic Clog",13218.3,shoes,14
ORD00003,"Vans Old Skool High",22586.79,shoes,25
ORD00004,"Bearbrick 400%",13006.57,collectibles,9
ORD00005,"Bearbrick 400%",7524.84,collectibles,30
ORD00006,"Salomon XT-6",22672.77,shoes,30
ORD00007,"Fjällräven Kånken",60601.22,bags,48
ORD00008,"Vans Old Skool High",5757.99,shoes,16
ORD00009,"Bandai Ultraman Figure",760.2,collectibles,17
ORD00010,"Palace Tri-Ferg Tee",8407.42,apparel,9
ORD00011,"Off-White Arrows Hoodie",9242.11,apparel,11
ORD00012,"Funko Pop Batman",9094.75,collectibles,27
ORD00013,"A Bathing Ape Shark Hoodie",8150.56,apparel,10
ORD00014,"LEGO Creator Expert",4967.04,collectibles,26
ORD00015,"One Piece Mega WCF",7602.38,collectibles,25
ORD00016,"Jordan 1 Retro High",19357.44,shoes,29
ORD00017,"Gundam RX-78-2 MG",8925.8,collectibles,13
ORD00018,"Gundam RX-78-2 MG",8025.09,collectibles,28
ORD00019,"LEGO Creator Expert",2464.04,collectibles,14
ORD00020,"Salomon XT-6",10789.22,shoes,19
ORD00021,"McFarlane Spawn Figure",10359.01,collectibles,9
ORD00022,"Converse Chuck Taylor Low",1682.44,shoes,8
ORD00023,"Tamiya RC Car",10724.12,collectibles,21
ORD00024,"Hot Wheels RLC",6219.09,collectibles,12
ORD00025,"One Piece Mega WCF",13080.43,collectibles,27
ORD00026,"Chanel Classic Flap",10277.64,bags,36
ORD00027,"Skechers Go Walk",3543.4,shoes,13
ORD00028,"Noah Core Logo Tee",5686.29,apparel,28
ORD00029,"Vans Old Skool High",18966.52,shoes,37
ORD00030,"Puma Suede Classic",8769,shoes,7
ORD00031,"Adidas Ultraboost 22",5872.25,shoes,21
ORD00032,"Funko Pop Batman",11582.25,collectibles,29
ORD00033,"LEGO Creator Expert",9413.94,collectibles,31
ORD00034,"Dragon Ball Statue",8141.13,collectibles,12
ORD00035,"Nendoroid Hatsune Miku",14135.64,collectibles,29
ORD00036,"Converse Chuck Taylor High",14432.39,shoes,36
ORD00037,"Salomon XT-6",22889.48,shoes,39
ORD00038,"Crocs Classic Clog",2507,shoes,8
ORD00039,"Fear of God Essentials",17147.19,apparel,22
ORD00040,"Tumi Alpha Backpack",8362.41,bags,13
ORD00041,"Converse Chuck Taylor High",11895.46,shoes,31
ORD00042,"Reebok Club C",11047.31,shoes,11
ORD00043,"Louis Vuitton Neverfull",14957.71,bags,25
ORD00044,"Palace Tri-Ferg Tee",27693.46,apparel,24
ORD00045,"Off-White Arrows Hoodie",22305.6,apparel,26
ORD00046,"Louis Vuitton Neverfull",72825.09,bags,26
ORD00047,"Fjällräven Kånken",17370.36,bags,23
ORD00048,"McFarlane Spawn Figure",3705.9,collectibles,17
ORD00049,"Puma RS-X",5038.44,shoes,22
ORD00050,"Gundam RX-78-2 MG",12510.44,collectibles,31
ORD00051,"Skechers Go Walk",4321.5,shoes,13
ORD00052,"Samsonite Spinner",47802.91,bags,32
ORD00053,"Nendoroid Hatsune Miku",11590.58,collectibles,14
ORD00054,"Coach Tabby",33002.19,bags,23
ORD00055,"Nike Air Max 270",8855.89,shoes,29
ORD00056,"Puma Suede Classic",7978.69,shoes,11
ORD00057,"Vans Old Skool High",20550.55,shoes,35
ORD00058,"Vans Slip-On",14515.77,shoes,13
ORD00059,"Gundam RX-78-2 MG",14695.72,collectibles,20
ORD00060,"A Bathing Ape Shark Hoodie",28024.21,apparel,24
ORD00061,"Tamiya RC Car",8428.19,collectibles,32
ORD00062,"One Piece Mega WCF",2097.32,collectibles,8
ORD00063,"Birkenstock Arizona",3648.38,shoes,15
ORD00064,"Carhartt WIP Chase Tee",3370.4,apparel,21
ORD00065,"Gucci GG Marmont",2276.45,bags,45
ORD00066,"Supreme Box Logo Tee",8212.64,apparel,30
ORD00067,"Kith Box Logo",18704.19,apparel,30
ORD00068,"Hot Wheels RLC",787.02,collectibles,26
ORD00069,"Kith Box Logo",28702.3,apparel,32
ORD00070,"Nike Air Force 1 Low",3214.84,shoes,13
ORD00071,"Off-White Arrows Hoodie",28234.95,apparel,22
ORD00072,"Puma Suede Classic",3809.59,shoes,13
ORD00073,"Tamiya RC Car",10014.85,collectibles,18
ORD00074,"Converse Chuck Taylor Low",11351.66,shoes,5
ORD00075,"Tamiya RC Car",1682.91,collectibles,6
ORD00076,"Gundam RX-78-2 MG",9666.13,collectibles,13
ORD00077,"LEGO Creator Expert",8520.68,collectibles,28
ORD00078,"Off-White Arrows Hoodie",24629.26,apparel,9
ORD00079,"MCM Stark Backpack",57656.72,bags,47
ORD00080,"Birkenstock Arizona",10255.48,shoes,10
ORD00081,"Tamiya RC Car",14713.26,collectibles,32
ORD00082,"Tumi Alpha Backpack",76007.44,bags,11
ORD00083,"New Balance 574",13707.16,shoes,23
ORD00084,"Salomon XT-6",18197.16,shoes,22
ORD00085,"Bearbrick 400%",7226.88,collectibles,23
ORD00086,"Figma Link",3579.36,collectibles,17
ORD00087,"Crocs Classic Clog",5358.33,shoes,6
ORD00088,"Fear of God Essentials",22833.87,apparel,24
ORD00089,"Tamiya RC Car",7427.13,collectibles,8
ORD00090,"Kipling City Bag",18219.37,bags,43
ORD00091,"Palace Tri-Ferg Tee",20789.64,apparel,25
ORD00092,"Stüssy World Tour Tee",14421.45,apparel,17
ORD00093,"One Piece Mega WCF",6323.62,collectibles,18
ORD00094,"One Piece Mega WCF",10902.89,collectibles,19
ORD00095,"Louis Vuitton Neverfull",26053.34,bags,45
ORD00096,"McFarlane Spawn Figure",5920.81,collectibles,11
ORD00097,"Gundam RX-78-2 MG",13966.71,collectibles,12
ORD00098,"Puma RS-X",18057.02,shoes,18
ORD00099,"Skechers Go Walk",2867.91,shoes,11
ORD00100,"LEGO Creator Expert",9538.75,collectibles,30
ORD00101,"Palace Tri-Ferg Tee",9789.66,apparel,12
